customer_id,recency,frequency,monetary_value,customer_tier
563,14606,1,289,56727.870670000004,Premium
736,15311,13,291,76540.7443,Premium
643,14911,11,276,51725.14647,Premium
1355,17841,18,263,49397.24444,Premium
850,15808,2,123,24017.1775,Premium
1218,17337,17,139,30141.513789999997,Premium
202,13089,21,176,26221.73484,Premium
667,15039,27,148,27540.07758,Premium
1267,17511,22,106,16563.93483,Premium
1411,18041,19,95,16308.27209,Premium
833,15719,14,95,15507.182200000001,Premium
234,13174,49,124,20447.96106,Premium
118,12748,108,328,78753.89421,Premium
482,14298,33,99,16363.78871,Premium
56,12539,54,100,18009.36328,Premium
806,15601,48,88,17398.62501,Premium
94,12681,29,88,15897.679610000001,Premium
226,13148,37,78,16676.05786,Premium
541,14527,33,84,16231.532760000002,Premium
572,14646,91,114,21208.308360000003,Premium
33,12471,16,70,13542.74803,Premium
703,15194,30,55,20698.58323,Premium
1295,17611,84,104,17067.184110000002,Premium
1433,18118,107,120,20484.43895,Premium
675,15061,66,80,16542.79056,Premium
200,13081,123,117,21420.16586,Premium
578,14667,111,71,27306.44745,Premium
1348,17811,21,76,11729.1839,Premium
62,12567,11,71,11225.26317,Premium
424,14085,14,73,11204.99752,Premium
95,12682,21,68,11971.42915,Premium
447,14180,16,41,21510.329279999998,Premium
1117,16923,40,59,14385.25912,Premium
618,14796,81,80,14384.86687,Premium
292,13488,12,76,10467.48775,Premium
205,13093,20,65,11283.08763,Premium
869,15867,59,78,11898.000750000001,Premium
1062,16725,6,67,10752.22587,Premium
949,16222,67,71,12129.93836,Premium
34,12472,63,67,12298.07142,Premium
1382,17920,41,64,11695.482610000001,Premium
656,15005,19,70,10445.39151,Premium
749,15358,29,69,10850.261550000001,Premium
924,16110,23,69,10450.78708,Premium
414,14049,64,57,11716.79764,Premium
778,15498,79,85,10770.2999,Premium
799,15570,122,57,16137.944309999999,Premium
597,14733,59,72,10627.613790000001,Premium
140,12841,35,49,11601.271260000001,Premium
193,13050,5,60,9792.58699,Premium
1358,17850,340,177,37847.29341,Premium
938,16161,22,64,10168.16358,Premium
1077,16771,19,57,10030.392100000001,Premium
46,12501,42,71,10154.78088,Premium
772,15464,160,68,14201.679220000002,Premium
546,14541,48,42,12313.478720000001,Premium
536,14505,150,94,11209.368480000001,Premium
358,13798,82,67,10302.69635,Premium
1121,16931,86,54,10920.036890000001,Premium
1397,17975,20,35,12350.71644,Premium
214,13113,8,29,20767.64901,Premium
558,14587,25,57,9235.07814,Premium
245,13230,12,42,10173.80689,Premium
1432,18116,169,77,11154.886100000002,Premium
800,15574,199,64,13285.42984,Premium
111,12731,35,38,11814.62346,Premium
1375,17894,32,56,9677.972950000001,Premium
1081,16782,56,61,9728.08653,Premium
1261,17463,36,57,9579.29792,Premium
620,14800,146,73,10742.27312,Premium
197,13069,4,68,8111.23731,Premium
756,15379,95,62,10261.41116,Premium
376,13869,35,40,11074.0473,Premium
1056,16714,61,47,10365.481520000001,Premium
26,12433,266,55,17857.37756,Premium
1344,17799,79,60,9807.7805,Premium
1221,17340,174,61,11316.950420000001,Premium
1435,18125,49,45,10186.751,Premium
435,14130,76,41,11098.69274,Premium
209,13102,8,54,8264.28298,Premium
1222,17341,273,65,12638.03958,Premium
425,14088,90,51,10164.474970000001,Premium
1292,17602,98,56,9889.37947,Premium
1336,17757,48,56,8950.464380000001,Premium
971,16327,45,54,8903.12448,Premium
1343,17796,39,46,9110.265360000001,Premium
816,15640,137,47,10761.432700000001,Premium
1195,17238,89,51,9719.12441,Premium
508,14415,105,45,10252.47952,Premium
1415,18055,27,50,8368.07927,Premium
1371,17884,27,54,8066.9957,Premium
830,15708,37,47,8727.937880000001,Premium
1076,16770,38,45,8774.86787,Premium
1213,17315,6,51,7552.7231,Premium
1,12347,60,31,12090.2958,Premium
30,12451,104,57,8754.81471,Premium
8,12377,41,37,9848.12188,Premium
870,15880,312,46,14097.20744,Premium
281,13408,33,42,8554.434870000001,Premium
1391,17961,19,29,11094.35213,Premium
908,16033,109,50,8820.91309,Premium
116,12744,69,34,10402.66408,Premium
343,13742,82,42,9044.320660000001,Premium
96,12683,93,38,9953.68291,Premium
288,13468,20,38,8220.77514,Premium
996,16456,4,42,7294.8777199999995,Premium
793,15547,43,48,7577.25456,Premium
1055,16713,178,49,9502.076770000001,Premium
748,15356,222,58,9227.70631,Premium
691,15159,44,51,7343.38022,Premium
668,15044,138,52,8413.51606,Premium
589,14702,46,41,8016.81306,Premium
441,14156,14,43,7223.24561,Premium
1232,17372,59,39,8041.87772,Premium
1049,16686,181,51,8627.44353,Premium
257,13280,47,39,7884.850640000001,Premium
1185,17218,143,59,7480.22822,Premium
439,14146,46,31,9165.80564,Premium
410,14040,40,38,7694.52832,Premium
794,15549,40,33,8444.1656,Premium
254,13267,131,26,14376.54036,Premium
1374,17890,91,40,7878.062010000001,Premium
718,15235,13,34,7460.19466,Premium
1467,18283,83,53,6970.805270000001,Premium
1149,17059,317,69,8545.683840000002,Premium
1087,16814,16,36,7293.68587,Premium
1180,17198,259,44,9443.315,Premium
524,14462,7,39,6769.3613399999995,Premium
353,13777,19,47,6490.537560000001,Premium
583,14680,71,38,7836.5533000000005,Premium
660,15023,105,41,7775.98297,Premium
899,15998,237,48,8563.037,Premium
1310,17673,82,38,7805.429220000001,Premium
588,14701,53,38,7374.555840000001,Premium
340,13715,153,48,7580.924120000001,Premium
592,14713,93,49,6936.77846,Premium
1186,17220,34,38,7096.370800000001,Premium
585,14688,33,38,7021.00989,Premium
1353,17827,250,51,8092.980100000001,Premium
484,14307,100,36,8072.63155,Premium
1244,17406,126,47,7262.49164,Premium
1219,17338,130,56,6778.460080000001,Premium
788,15529,96,42,7120.54249,Premium
1140,17019,127,46,7138.23542,Premium
362,13815,71,31,8353.18956,Premium
867,15862,363,40,9727.81582,Gold
411,14044,15,45,6102.0871099999995,Gold
423,14083,175,44,7424.80458,Gold
762,15415,37,38,6741.63792,Gold
1460,18245,34,30,7450.13014,Gold
595,14729,358,42,8563.79361,Gold
746,15351,321,24,19496.4864,Gold
1328,17722,59,49,6049.82081,Gold
309,13564,174,40,7289.16669,Gold
784,15514,221,52,6878.024810000001,Gold
89,12668,32,38,6352.7546600000005,Gold
874,15889,307,37,8807.40536,Gold
266,13319,168,42,6907.663280000001,Gold
1239,17392,4,34,6157.42745,Gold
916,16065,261,39,7793.1003200000005,Gold
1203,17284,149,49,6381.41596,Gold
332,13680,152,44,6515.724920000001,Gold
1317,17690,112,38,6651.29784,Gold
6,12370,190,44,6749.99632,Gold
594,14723,192,41,6815.9285,Gold
1341,17787,96,41,6215.358020000001,Gold
579,14669,135,43,6358.0689600000005,Gold
1192,17231,97,36,6520.84086,Gold
1104,16891,333,37,7906.7624000000005,Gold
220,13137,10,33,6038.6502199999995,Gold
1138,17017,214,42,6762.51424,Gold
786,15525,357,36,8285.80488,Gold
135,12826,54,31,6716.3846,Gold
1289,17591,59,42,5836.27923,Gold
835,15727,129,37,6494.88088,Gold
795,15555,231,49,6415.26062,Gold
1395,17968,360,31,9130.32131,Gold
1191,17230,20,39,5549.85099,Gold
555,14573,335,36,7865.7878200000005,Gold
238,13198,69,39,5897.723840000001,Gold
1152,17068,33,38,5796.97313,Gold
1010,16520,260,32,7887.301810000001,Gold
1150,17062,40,34,6035.78586,Gold
1298,17619,31,46,5220.296469999999,Gold
1390,17954,120,39,6115.6478,Gold
1187,17223,18,27,6514.22801,Gold
902,16011,23,33,5908.762430000001,Gold
334,13694,12,37,5465.07953,Gold
65,12578,57,40,5507.48736,Gold
1331,17735,63,28,6737.97536,Gold
771,15460,174,33,6801.260510000001,Gold
428,14099,119,34,6298.89977,Gold
1116,16919,215,34,6805.92687,Gold
665,15034,160,35,6431.622780000001,Gold
983,16395,97,39,5695.57894,Gold
895,15983,220,38,6453.382610000001,Gold
1110,16904,102,44,5430.45532,Gold
1178,17191,291,36,6894.89013,Gold
1459,18239,35,27,6383.2334,Gold
1294,17609,116,33,6184.40396,Gold
1393,17965,43,45,4951.87892,Gold
351,13767,138,37,6016.83073,Gold
35,12474,61,27,6480.726960000001,Gold
622,14810,4,24,6356.95264,Gold
9,12383,100,39,5478.60846,Gold
1197,17243,88,36,5640.21338,Gold
76,12625,16,24,6359.19876,Gold
180,13004,52,37,5318.09108,Gold
1158,17085,179,39,5915.3955000000005,Gold
550,14549,24,29,5874.08439,Gold
232,13168,67,36,5475.4509800000005,Gold
952,16241,166,30,6522.600670000001,Gold
961,16274,353,32,7270.69081,Gold
1174,17180,46,32,5595.7114,Gold
104,12720,35,26,6205.7496,Gold
1079,16779,22,36,5104.36805,Gold
399,13983,110,18,9003.94668,Gold
25,12431,41,32,5476.40002,Gold
765,15426,292,33,6701.776,Gold
41,12484,150,35,5876.48384,Gold
1252,17431,37,26,6113.24232,Gold
1287,17581,123,39,5299.11206,Gold
614,14779,90,20,7391.722919999999,Gold
1255,17449,210,38,5873.09591,Gold
906,16029,6,31,5088.65874,Gold
742,15339,70,32,5450.921060000001,Gold
673,15058,29,33,5032.30407,Gold
227,13155,115,38,5189.03855,Gold
77,12626,28,34,4873.87326,Gold
1060,16719,164,34,5761.37733,Gold
630,14849,59,31,5376.60294,Gold
1266,17507,12,33,4795.15411,Gold
678,15078,77,30,5594.420950000001,Gold
1048,16684,15,33,4810.79481,Gold
1002,16496,57,31,5346.350640000001,Gold
1075,16767,52,26,5949.519840000001,Gold
520,14449,341,28,7201.60951,Gold
437,14135,114,36,5262.57229,Gold
731,15296,113,30,5826.3129,Gold
1376,17897,281,33,6204.48568,Gold
904,16016,270,33,6167.48078,Gold
369,13838,324,35,6098.280320000001,Gold
878,15910,54,28,5486.69456,Gold
1423,18077,74,32,5187.88748,Gold
156,12921,165,30,5937.89708,Gold
1163,17097,100,29,5582.85312,Gold
370,13842,13,18,6513.06154,Gold
527,14472,146,28,6021.99891,Gold
1285,17576,104,25,6064.84702,Gold
574,14657,110,33,5128.37948,Gold
554,14572,97,43,4450.30144,Gold
1167,17126,241,28,6272.725200000001,Gold
418,14062,95,33,4832.102080000001,Gold
985,16402,311,27,6503.26576,Gold
537,14506,308,30,6138.01428,Gold
1398,17976,342,33,5883.52736,Gold
39,12481,152,13,10322.959840000001,Gold
123,12764,56,28,5122.93664,Gold
657,15012,357,30,6193.97296,Gold
1378,17908,362,32,5966.61526,Gold
64,12577,203,33,5291.15856,Gold
1068,16745,2,28,4651.99882,Gold
450,14189,67,26,5291.25908,Gold
652,14978,62,29,4776.877880000001,Gold
1274,17530,254,29,5739.6174200000005,Gold
1419,18069,117,33,4652.45266,Gold
1000,16477,82,30,4728.91006,Gold
989,16409,59,30,4644.741760000001,Gold
329,13659,86,32,4543.32769,Gold
1388,17950,257,19,7181.1733,Gold
330,13668,13,31,4199.59954,Gold
172,12971,13,31,4175.78732,Gold
1083,16795,258,32,5265.321790000001,Gold
575,14659,43,21,5373.569280000001,Gold
1241,17400,172,17,6998.4903300000005,Gold
1036,16618,90,24,5180.329170000001,Gold
789,15532,194,29,5166.126749999999,Gold
953,16244,346,28,5873.34585,Gold
608,14769,103,33,4370.1179,Gold
1312,17675,28,26,4597.96406,Gold
165,12947,66,25,4819.4365,Gold
147,12868,50,19,5575.99864,Gold
1200,17259,296,32,5148.95415,Gold
820,15658,14,17,5682.31252,Gold
544,14534,70,22,5214.290580000001,Gold
149,12872,116,31,4488.95722,Gold
57,12540,22,32,3985.1668400000003,Gold
1202,17277,90,29,4490.56523,Gold
128,12782,65,32,4114.39315,Gold
992,16422,25,27,4354.54476,Gold
1243,17404,45,33,3977.7246600000003,Gold
1286,17580,32,26,4437.18288,Gold
994,16442,223,29,4984.235720000001,Gold
138,12838,361,28,5560.27124,Gold
826,15687,25,22,4741.9536800000005,Gold
785,15518,70,28,4405.121300000001,Gold
341,13725,9,30,3875.4877199999996,Gold
183,13013,332,28,5314.0266,Gold
1164,17105,2,27,4026.42384,Gold
1226,17358,182,26,4962.383500000001,Gold
124,12766,143,28,4641.5804800000005,Gold
1361,17858,83,28,4351.9241600000005,Gold
143,12854,69,23,4677.79788,Gold
1229,17365,136,29,4433.9104,Gold
864,15856,170,32,4329.80869,Gold
499,14395,143,34,4001.67252,Gold
768,15448,35,21,4658.82928,Gold
350,13764,155,29,4417.180740000001,Gold
489,14329,121,31,4065.70424,Gold
1182,17211,173,25,4798.06371,Gold
1453,18223,88,32,3876.31864,Gold
548,14544,231,26,4828.27988,Gold
398,13982,112,30,4014.0444800000005,Gold
586,14692,79,18,5168.69268,Gold
956,16255,168,24,4717.45963,Gold
876,15898,285,38,4065.3130499999997,Gold
535,14502,31,21,4436.8149,Gold
1006,16503,126,26,4383.22354,Gold
67,12585,161,26,4484.0985200000005,Gold
417,14060,65,25,4081.7180500000004,Gold
293,13491,20,22,4167.005910000001,Gold
396,13963,6,16,4853.781919999999,Gold
783,15513,54,18,4811.302900000001,Gold
47,12502,16,21,4145.86187,Gold
780,15503,243,39,3805.75392,Gold
959,16270,173,23,4660.99467,Gold
54,12528,35,22,4169.27512,Gold
1338,17769,87,23,4268.66914,Gold
1050,16700,53,24,4059.4148800000003,Gold
1366,17865,187,23,4680.7564,Gold
1302,17634,157,24,4473.591780000001,Gold
1190,17228,26,25,3858.81605,Gold
421,14081,305,24,4899.736989999999,Gold
641,14901,222,25,4629.90629,Gold
560,14594,355,25,4871.5595,Gold
78,12637,57,26,3871.3724899999997,Gold
653,14985,191,32,3931.71328,Gold
698,15179,77,26,3933.3699000000006,Gold
287,13458,105,29,3828.70163,Gold
1053,16710,215,28,4231.5042,Gold
1412,18043,276,28,4413.93618,Gold
69,12591,60,21,4199.722000000001,Gold
1442,18168,210,29,4067.09018,Gold
879,15916,125,27,3957.56332,Gold
1439,18145,34,24,3842.98088,Gold
1103,16889,152,20,4660.84168,Gold
1309,17672,14,19,4080.97269,Gold
1430,18109,106,33,3472.9104,Gold
1236,17377,186,28,4008.8563,Gold
1394,17967,334,26,4529.39252,Gold
103,12712,11,27,3467.1959,Gold
515,14440,56,15,4910.2848300000005,Gold
1059,16718,313,28,4267.669,Gold
1291,17596,299,28,4225.40991,Gold
415,14051,41,24,3768.19354,Gold
1234,17375,29,25,3600.27268,Gold
338,13707,42,23,3849.18584,Gold
1024,16558,81,28,3588.8730400000004,Gold
727,15281,88,27,3694.64022,Gold
669,15046,20,21,3865.07252,Gold
1392,17964,343,23,4707.92994,Gold
199,13078,52,24,3731.36733,Gold
462,14224,83,22,4001.3506500000003,Gold
458,14215,41,30,3320.0394800000004,Gold
155,12916,87,19,4233.48856,Gold
217,13124,205,30,3789.87784,Gold
304,13534,48,23,3751.00939,Gold
1098,16873,176,43,3202.9256400000004,Gold
510,14426,35,24,3543.0606000000002,Gold
500,14396,327,24,4395.894,Gold
627,14829,203,19,4651.1841,Gold
262,13309,9,22,3534.5453199999997,Gold
642,14907,222,20,4539.89708,Gold
1084,16805,215,31,3613.1699200000003,Gold
473,14257,74,18,4195.376160000001,Gold
790,15535,118,30,3348.60592,Gold
517,14442,29,20,3713.3016700000003,Gold
81,12647,189,28,3634.79326,Gold
406,14030,266,17,4974.815920000001,Gold
1314,17677,70,28,3297.2367400000003,Gold
946,16210,17,20,3580.67484,Gold
1440,18156,318,34,3476.09944,Gold
282,13418,207,24,3926.91984,Gold
812,15615,124,20,3974.83824,Gold
880,15919,301,24,4068.7237999999998,Gold
1365,17863,21,23,3384.6005,Gold
299,13506,30,21,3545.7810200000004,Gold
451,14194,5,20,3473.1002799999997,Gold
1176,17188,42,27,3234.2531200000003,Gold
587,14696,108,26,3455.73231,Gold
1183,17213,51,20,3675.8877600000005,Gold
1354,17838,256,16,4936.78258,Gold
766,15443,85,24,3470.2198200000003,Gold
679,15079,42,17,3970.6656800000005,Gold
1280,17555,145,23,3724.194,Gold
829,15696,41,28,3156.3045700000002,Gold
1012,16525,3,27,3029.17244,Gold
576,14662,47,18,3803.2363200000004,Gold
1450,18202,24,17,3801.3725999999997,Gold
577,14665,21,12,4498.13475,Gold
779,15502,291,22,4060.24019,Gold
1045,16670,109,25,3313.27435,Gold
1160,17091,70,20,3496.9189699999997,Gold
1211,17311,55,19,3504.4805600000004,Gold
834,15723,250,22,3850.0215300000004,Gold
661,15024,280,19,4159.7891,Gold
871,15881,28,19,3438.31381,Gold
1106,16893,277,31,3302.81308,Gold
1131,16985,20,17,3562.33278,Gold
1064,16727,246,21,3865.81561,Gold
1107,16897,40,19,3437.1735200000003,Gold
1052,16705,24,28,2857.0272999999997,Gold
230,13162,132,25,3250.27672,Gold
725,15271,159,16,4111.3774300000005,Gold
1403,17999,269,17,4313.24891,Gold
190,13047,14,26,2876.28679,Gold
407,14031,98,21,3379.9943000000003,Gold
483,14299,51,20,3266.20038,Gold
801,15579,39,18,3430.0780000000004,Gold
682,15093,162,17,3932.4591800000003,Gold
1066,16735,144,26,3168.4921600000002,Gold
427,14092,89,26,3051.8975100000002,Gold
408,14032,171,19,3626.01404,Gold
1316,17685,5,22,2986.30937,Gold
139,12839,186,23,3351.10057,Gold
1112,16907,256,19,3810.2355700000003,Gold
1102,16885,186,23,3320.84805,Gold
856,15827,35,22,3056.1540000000005,Gold
671,15052,76,19,3279.2195800000004,Gold
438,14142,351,21,3733.22204,Gold
146,12867,213,24,3283.41974,Gold
655,15002,165,23,3241.8078,Gold
1177,17189,203,19,3589.50978,Gold
107,12725,326,14,4578.1124,Gold
373,13854,22,24,2815.2392400000003,Gold
397,13969,89,18,3396.22842,Gold
1293,17604,30,19,3164.9125099999997,Gold
875,15894,309,25,3333.1988,Gold
228,13158,75,16,3539.7129000000004,Silver
1114,16916,343,23,3482.62964,Silver
498,14390,346,21,3670.8323600000003,Silver
18,12415,141,24,3129.8837700000004,Silver
907,16030,16,21,2955.0095499999998,Silver
1407,18016,41,23,2930.7909600000003,Silver
120,12754,11,17,3210.5303,Silver
359,13800,14,23,2772.64588,Silver
1143,17027,61,18,3254.4276800000002,Silver
470,14243,62,14,3709.93573,Silver
639,14896,262,19,3591.9370200000003,Silver
274,13370,268,23,3329.90968,Silver
84,12652,88,26,2811.89566,Silver
286,13455,119,19,3258.6386500000003,Silver
490,14334,80,17,3322.65013,Silver
1362,17860,298,30,3022.12016,Silver
947,16218,362,17,3942.1708200000003,Silver
416,14057,215,23,3205.28008,Silver
402,13999,90,20,3104.26162,Silver
1230,17368,66,22,2921.7597000000005,Silver
1069,16746,118,27,2740.33588,Silver
805,15596,54,18,3149.29991,Silver
584,14684,238,24,3151.32364,Silver
1256,17450,137,23,3024.8804800000003,Silver
300,13520,101,20,3094.26566,Silver
1422,18075,46,19,3028.7781400000003,Silver
659,15021,277,19,3470.93415,Silver
664,15033,122,14,3640.2912,Silver
161,12935,77,2,9013.21872,Silver
502,14404,117,23,2903.7945799999998,Silver
456,14210,167,17,3440.5777000000003,Silver
85,12662,13,16,3110.89493,Silver
352,13769,88,21,2933.00117,Silver
1288,17585,161,17,3388.7706900000003,Silver
1224,17346,210,21,3179.90366,Silver
113,12735,42,18,3026.88089,Silver
689,15144,33,10,3897.16464,Silver
375,13862,119,18,3167.88824,Silver
223,13141,22,16,3098.1191200000003,Silver
207,13097,159,18,3236.5837,Silver
649,14961,153,18,3213.55776,Silver
598,14735,18,19,2735.90034,Silver
354,13782,118,22,2769.71217,Silver
43,12490,124,22,2804.22992,Silver
1429,18106,123,19,3012.9235200000003,Silver
1212,17314,28,15,3095.23206,Silver
1018,16550,293,22,3128.91255,Silver
137,12836,26,19,2704.2301199999997,Silver
611,14776,33,19,2732.16184,Silver
734,15301,300,17,3470.21832,Silver
570,14639,195,22,2924.72338,Silver
364,13819,13,15,2985.9175400000004,Silver
862,15845,153,7,5155.74592,Silver
1099,16875,137,17,3133.3460400000004,Silver
1082,16791,133,17,3112.4348800000002,Silver
514,14439,80,17,2992.1476000000002,Silver
802,15581,174,17,3187.5373400000003,Silver
1015,16539,195,14,3479.4368400000003,Silver
